"Sales","Awareness","Liking","Consideration","InstagramAds","TikTokAds","SEA","PoSPromotions","InfluencerColabs","Time","predicted_sales"
74351.4527545623,21.7452892059782,10.4278284781743,13.4585319956056,1113,665,960,158,541,23,72167.1736318369
71363.1486383093,22.1572259530312,8.44925078638556,11.1730463742964,82,567,1067,69,829,24,71173.7458147331
65706.7119018921,21.9337244278982,2.03653974290499,3.9704544859799,548,363,1665,159,730,25,67445.9104454157
68205.7029896115,22.2216927874319,9.16550073901687,12.1128688928351,806,350,2441,38,898,26,71603.1426020994
67504.5417747587,22.0678226748172,-0.599249786236364,2.43395399121704,1269,21,2511,146,673,27,66793.4439357249
67005.625612003,21.8326525401763,-3.74772761436449,-1.20524263359798,915,904,866,203,753,28,64787.7386487674
68143.7016612109,22.0762474287158,6.8730913800417,10.1171229976966,81,297,2199,123,695,29,70726.2678881929
67458.3120181241,22.2302182346605,-3.77255636241719,-1.36098910362686,428,231,1041,207,1046,30,64887.9365998205
67683.9699129792,21.8003140137196,2.9521838891789,5.72532805765456,598,836,886,233,733,31,68289.7444028709
74208.0683155892,21.9848517360327,8.63005358308154,11.9541407075163,226,237,1754,245,964,32,71583.6698480877
73353.5223408017,22.2720844324531,9.52214910403876,12.1801917445334,397,90,2356,94,652,33,71699.9922758015
73262.9072223738,22.081091354815,6.79582263795003,9.60181585820368,1218,239,2295,134,767,34,70282.1525863444
71410.0442281008,21.98970531337,6.32896945251592,9.50999186532613,1022,354,1480,227,943,35,70248.6273770781
61503.4194690293,21.9764396452889,-10.5754785305822,-7.75285087702472,63,494,1590,259,617,36,61737.9513230883
68887.1022958442,22.0094884979726,3.19289557277979,5.7918152870895,91,575,1608,272,773,37,68387.7283950279
72019.4883566937,21.9774718455935,9.94957480731059,12.6806252392851,325,587,725,158,658,38,71862.7389298666
68533.245798169,22.046570781679,2.11507360095795,5.20611638142022,513,701,1322,31,838,39,68187.1160292387
67824.4928288277,22.0751844334244,0.93690355390613,4.27333746969526,543,157,3348,214,579,40,67754.1545053966
67245.7109061179,21.9683970041769,-1.82826307783954,1.12797148015595,1019,72,1655,231,769,41,66133.4828977934
64350.7428302419,22.0747055979587,-4.32200266222867,-1.28938153737906,1017,238,924,208,711,42,64941.3265060763
68455.7676870173,21.9389123093241,-0.376272335947785,2.71806022033696,255,416,995,220,857,43,66971.1822940192
68715.8076886241,21.9682098940067,1.87764226790473,4.89034342576648,593,946,2151,14,1021,44,67934.0428111953
66560.8604578075,22.0179546861797,2.25206136093613,4.8240713612106,414,189,1009,100,902,45,68034.2025233673
70100.1085227649,21.8772296336557,10.3142334341791,12.9008022781222,711,130,1679,98,498,46,72017.5618396086
68271.8678176695,21.9315673609495,6.55783406035301,9.35928359391138,546,407,2624,51,922,47,70224.1186455818
61214.7271275349,21.9222016944598,-4.51848553905418,-1.46715822865312,310,59,2253,119,945,48,64972.7592669978
69203.6579472232,21.8051299205824,3.44374426670409,6.93411459398805,1133,10,528,322,676,49,69063.7004023021
65987.3691570651,21.7775635831527,-1.92642553884538,1.0042830856264,20,210,979,268,538,50,66169.4283129824
67147.0523463939,21.9619353982189,3.32820710232067,6.88462214043094,96,352,2638,196,770,51,69099.3962907218
69195.8772753079,21.705720065147,-0.249329725380604,3.03166406955308,134,831,1054,371,633,52,67012.2092346782
67419.7303847963,21.7373168685261,-0.150216157183166,2.82058425400321,937,585,877,232,977,53,66875.0601148271
62170.9396340862,22.2491963078973,-5.4759146862252,-2.41763257312179,93,865,1984,236,718,54,64324.2295194541
65244.4473820998,21.9745603183868,-1.08584267218689,1.70099246767113,452,34,615,128,835,55,66541.9560439331
65813.7674218417,21.8247367483031,-1.99237121025884,1.20027581835513,129,264,1746,277,580,56,66248.5491024382
63542.8002980847,22.2093767916607,-0.951511868859996,1.51214937622698,335,211,3390,172,776,57,66304.7629289472
65869.2216398306,22.094124802866,-3.46404096604839,-0.240827548264996,893,739,2821,177,713,58,65355.7974837914
73093.1678577327,22.0668683489676,13.9631758811951,16.8325380721429,299,159,1666,334,554,59,73940.4701440733
62306.165536934,21.9114180821986,-10.4274766436187,-7.61080790093953,338,643,1229,52,805,60,61830.1847708874
67143.5152166196,21.4383078610638,4.92915076695189,6.77577508544865,491,154,76,287,718,61,68853.5268353042
69627.1869102981,21.9823643669255,7.44409562866158,10.0504320835411,706,842,1469,74,540,62,70466.8237300309
68379.2580109828,21.9440518081652,2.00700462360024,5.15221281713876,925,645,1041,138,937,63,68082.1934427318
68384.2364980112,22.0889783559894,-4.77934092475714,-1.83037615220983,192,594,1473,140,1066,64,64683.7504180268
73065.0598230063,21.8132699957251,11.0114911269976,13.6660068749459,187,571,436,225,1011,65,72318.9757062187
65939.3050746302,21.676474332253,-2.13747979592148,0.43112622230078,1151,386,849,187,637,66,65697.6523094406
63063.0575533975,21.8958717095456,-4.76062341373507,-1.17710727043334,897,906,1538,226,772,67,64901.2644793245
70344.8821647147,22.142837834366,7.36451406844758,9.68513065766773,885,95,2376,27,915,68,70376.0676615854
63700.2312089771,22.0272729755624,-6.87808440630819,-4.1274534588338,20,511,759,79,717,69,63622.222848589
59311.0208462559,21.8212059725931,-12.3493939566465,-9.63481840300068,1408,349,573,23,745,70,60779.8609626056
63803.1472361752,22.1754866492526,-5.19098711237481,-1.87455710681858,473,876,1543,343,625,71,64542.8959487089
67617.9989268229,21.8629651646995,3.63946005485487,6.77220467812899,202,227,1897,190,754,72,69027.651837335
70849.5630245833,22.0302098836544,7.76956844344887,10.2561744962918,325,52,1139,265,654,73,70693.9999583304
67667.2946870153,21.6969034721061,5.33523680975448,8.52200317743882,470,353,1565,224,761,74,69830.8308184826
60348.0619041163,21.8353558733007,-14.6424474658416,-11.7000202737379,714,315,246,115,857,75,59837.9306600453
67035.5997024119,22.2262835444444,-0.775283798026668,2.63896508057444,1216,810,2254,32,727,76,66829.5637604822
66980.3101931089,22.0690197694087,0.00394843798174751,3.10609297505611,1305,233,468,132,797,77,67133.5786194198
65630.5790309786,22.1148184702462,-6.07329425678892,-2.89585706102413,148,793,1678,272,727,78,64099.6302786981
69319.7999298027,22.1203027460623,-0.0242582772839386,2.84383293579211,688,499,2490,295,736,79,66875.2489535393
70306.2457166365,21.9219365393757,3.24529120061541,6.67379468846069,347,517,2454,186,762,80,68921.4229540134
64960.3396300494,22.1034788277162,-7.31567981258651,-4.00477681204372,285,64,2263,119,589,81,63769.4359718752
66977.0202778018,21.7977869848987,-4.74767585285194,-2.16650931176762,422,596,947,214,735,82,64437.3774238948
70645.3660686514,21.4308231226095,11.0808184093484,12.4287018311596,812,811,13,189,433,83,71470.3553412559
61461.446016776,22.0443288738455,-6.28229120257663,-3.66351067074965,405,598,1162,63,824,84,63762.2601650037
68963.7570672621,22.338933999948,7.28279564851515,10.3165709606132,953,328,2181,177,746,85,70665.583952709
72716.878476643,21.8618844923393,11.367904787587,14.437767130185,1296,233,1570,56,871,86,72744.5898538359
64633.7638798728,21.762242023847,-5.73174664664372,-2.94025569538873,34,354,509,15,472,87,64290.4803593284
61664.9468616933,21.3279053855403,-11.851083584724,-10.4579263669511,1425,401,20,51,975,88,60181.8426235048
58914.4347721494,22.0939076860668,-13.1881132945524,-10.5696184776217,294,26,990,186,853,89,60429.3003953173
70698.5755916096,21.3997136824279,7.87578682566702,9.59273733262343,1185,867,64,110,655,90,70072.9219177268
66237.1225290893,21.7710164909183,-1.70241943790408,1.25036110420142,1065,756,1584,62,721,91,66112.5676032674
74439.5108600969,21.6999527237279,13.5334454189782,16.1452172856057,874,680,293,162,898,92,73469.6856242198
61399.4363231347,21.9033287556355,-6.76167247795005,-3.2691858515874,15,189,2266,330,912,93,64048.421659186
67008.7600271564,21.8524447182345,1.56285319961641,4.58295805380186,52,534,2655,173,764,94,67868.3301637532
59627.0103174109,21.91583298258,-8.61271740413513,-5.62419683392923,903,481,909,51,879,95,62806.4648769877
67985.0840023638,22.0044474825193,0.65274981699346,3.45309404478014,465,917,944,124,720,96,67215.9657998285
70876.9797943526,21.9964613433797,7.78981893245424,10.2257499371112,759,24,1300,220,870,97,70630.2954239348
63875.7336250597,22.1373331363857,-4.33397216284847,-1.82654654006365,794,824,1372,178,804,98,64509.1203793629
62400.9478477965,21.6646376068242,-6.76033557457184,-3.68694132913296,774,611,239,151,726,99,63739.8110722932
69853.0199038891,21.9356925071824,1.81082875820875,4.86197972267548,888,236,2654,190,777,100,67967.3748622397
69619.708841824,22.1999942476065,2.04989052877445,4.83313343076411,591,502,3642,74,779,101,67929.7211197479
66081.9092436356,22.1668100868035,4.23825754876441,6.49874472447934,94,330,492,42,695,102,68886.000470781
67076.8428352381,22.0490105731282,0.108879159799089,3.09609573255974,1294,146,1521,58,916,103,67135.5437972588
67893.7281510084,21.8763993862041,4.39343923746221,7.2890267144614,175,70,1029,202,1046,104,69294.498223466
73266.3177882821,21.8552010728687,5.11247692571088,7.58050645325162,987,395,794,28,918,105,69305.748836457
74315.8008791181,22.0677108230233,13.18514285976,16.1918256704785,1229,591,1384,313,1120,106,73418.1575446223
68371.0039308305,21.7607237450882,5.10889255305693,7.66667846103693,1318,780,483,286,857,107,69130.2185054883
65294.4013862914,21.9451633352038,-3.11841743975138,-0.276185551461344,806,848,1462,110,494,108,65350.8296994527
66150.420573685,21.9939327202264,-2.58843796529546,0.558308376501836,1433,567,2042,128,552,109,65761.8866409768
65743.5773489813,21.9017982292858,-1.59755771755227,1.28519435844612,1173,162,617,268,931,110,66163.8440679304
65308.6855538574,21.9205138352056,-4.05281275969809,-1.28049212956469,1024,204,1912,111,928,111,64925.8084863811
62056.9063448256,21.8523827135009,-7.53716202475348,-5.2912900673214,641,713,166,262,827,112,62790.9288531971
69125.4826759219,21.7868237020592,5.76929435762758,7.72162817459253,648,954,490,175,716,113,69184.6251456249
72525.92403554,21.7585265089038,11.64966015541,13.9862290135569,566,690,193,256,800,114,72369.6351572161
67923.3225013399,22.1563554404148,-1.58179715462455,1.58635054893445,1009,389,1038,20,846,115,66424.2310033976
72830.5380258465,21.6694444434096,7.33224092535742,9.58644055914029,675,845,305,96,848,116,70195.7663559917
67784.0278913358,21.9562010555356,0.872483770301653,4.13127464615359,182,194,2282,153,415,117,67769.6050427673
64784.8863305708,21.8895404209145,-3.50810959721098,-0.354892137317432,1097,781,2138,341,721,118,65197.8265404731
67133.2437048211,22.164019825302,0.69099993661617,3.84351012175604,1190,949,1251,230,941,119,67293.4941756932
68505.7675029839,21.9914135335052,2.91225950631987,5.9661215330007,575,201,1273,218,864,120,68578.6759211973
61868.7184834667,21.7201036513615,-4.55817831117496,-2.12672928408912,602,954,1111,316,574,121,64296.7503390759
67172.0010281896,22.1384239701103,0.498797992791934,4.32811734806381,331,474,2704,127,570,122,67851.6809862446
62446.4674649929,21.644456922758,-4.27864398996805,-1.40653829541223,157,403,474,29,788,123,65010.787330457
65756.0108532941,21.8957746511603,-4.5037771898858,-2.07611402753519,41,252,184,21,776,124,64688.7853371351
64733.297535064,21.9327233980362,-4.76397693588462,-1.63292414979624,306,991,1770,317,798,125,64628.3532357723
62690.3873472102,21.802918846294,-1.87498061163397,0.529372100424602,844,131,1414,176,582,126,65816.1394225015
64484.4264970427,21.8663663333431,-4.37364677639216,-2.00864262661874,63,145,1245,149,622,127,64660.8842895598
69040.3618188184,22.1799889556135,3.28590184749023,6.10197254349296,415,202,2151,96,776,128,68676.5193215387
65768.9729131662,22.1572191133204,0.92783313011971,4.2655371332632,41,70,1220,230,635,129,67874.3947877036
68204.5039989507,22.1270936232716,-0.442890841032461,2.15444330657249,520,958,3279,145,786,130,66464.7466876771
71212.2693989873,21.9587896074571,7.19417900669696,9.64887216926036,37,313,2980,83,851,131,70390.2161448391
63206.9720204396,22.0604256004532,-3.18625649959858,0.241431371037844,164,913,1818,262,811,132,65651.3844967732
68837.1855826613,21.8933795785476,3.81862003493742,7.1309616664056,1198,225,1516,234,792,133,69094.6387498918
68603.6605486161,21.7464835787621,5.74095986812776,8.17833427552852,96,905,444,160,755,134,69551.8481824232
63645.0524784813,21.9441870989367,-6.15916634613599,-3.69360301250977,97,763,837,194,877,135,63676.382865153
70942.3243146779,22.0273672047665,11.2140033159351,13.7926477044622,412,914,1919,67,745,136,72319.9845123579
72188.91586049,22.0293868414447,5.91129426935366,8.49561706666793,275,222,1348,163,984,137,69824.6201551462
67367.0242614235,21.9582699037679,5.5359757110873,8.24181959067289,597,293,1202,164,930,138,69663.2581508937
70775.460045925,22.1741002508293,10.3411138736057,13.3161608211125,318,801,1153,138,704,139,72159.7805144415
71238.8851389073,21.9439962269478,9.21258727388416,11.9497411401905,485,901,2531,146,822,140,71364.7241952894
68138.7086602927,22.1095971170296,5.50666936899826,8.30767137780715,665,907,1958,373,757,141,69465.1710605682
63835.8824172003,22.0532801301217,-10.280077585886,-7.07275423614554,628,192,1989,372,957,142,62043.0285469742
67373.0676624923,22.0364528262936,0.850240741542995,3.96843509943407,1040,64,1713,56,860,143,67631.225955464
70770.52129094,21.6168718381758,2.28196465579424,5.11727217209129,474,347,720,281,664,144,68102.0378325894
71535.3857774151,21.9137801864843,11.1800755066012,13.9045878253217,860,97,1726,216,917,145,72446.7307559994
75774.1735335322,21.9219925756989,12.2931763674626,15.084777023271,628,123,597,130,815,146,73132.8155316787
66854.7385477713,21.8200511311922,0.293307308778416,2.73471225874782,911,929,463,119,803,147,66766.8071754849
67345.7388395382,22.001656658483,1.09640939222024,3.71891430926815,303,252,2254,78,471,148,67493.2684042746
57246.4717357467,21.8467040971844,-18.1320194645611,-14.7871821826138,581,651,1703,126,684,149,58267.1012032953
65753.9664392727,21.9500883483949,-2.79248863985966,0.706613674478283,238,805,2501,196,1114,150,65899.9024981751
71904.9024307843,21.9310378014128,15.4031980418137,18.1198055594793,1010,101,661,179,673,151,74570.4299987084
62395.8377479361,22.0451422803739,-9.78980014778178,-6.71496522211364,138,651,1463,120,705,152,62299.3442100421
69827.4300408305,22.1387166678767,4.65864098171235,7.01976391080832,20,632,2682,232,846,153,68953.5124194689
65535.4700962334,21.8879823127997,-1.98477262540559,0.752205531669239,516,223,1055,99,663,154,66025.8011394827
70231.622613665,21.957377811622,7.98445972633347,10.8390374688464,641,724,1572,127,755,155,70883.8621169574
72530.433110239,22.2381278304534,6.19121258679463,9.14085995123307,660,673,1461,149,948,156,70050.59545239
72661.4812245787,21.9622764243252,12.0238529596341,14.4199242801984,87,655,439,311,875,157,72627.1122850112
73018.5458958595,21.8100662134843,6.49154996990405,9.24633924391931,932,653,884,164,712,158,70063.3305908565
66501.0960293621,22.1920149404564,-2.38684857010391,1.14214669790989,290,119,2996,162,695,159,66292.2683531714
69698.9140717972,22.2224219866259,3.52045318252032,6.16254850046044,1487,603,737,159,935,160,68466.6099239277
56117.4084345118,21.9885324263241,-18.2272061354364,-15.006374428135,112,702,1108,143,612,161,58202.8132264402
72159.4590041753,21.9672051050131,6.12408386551831,9.43626853390446,378,832,1890,181,642,162,70226.2014717272
64463.0137307655,21.7763474670599,-4.18318209907748,-0.622930606049822,372,906,1545,325,1080,163,65175.5866404531
67319.8556600966,22.1357781312028,-1.43804842199294,1.12854155614596,750,644,3378,26,730,164,66046.587742185
70307.1426002334,22.1288465055452,4.71681737064608,7.68692156509945,595,372,2411,159,877,165,69380.8763135561
70894.0629756007,21.6526602132481,7.03777681282873,9.22214659213564,1054,459,89,366,696,166,69940.1693856091
69129.9787122758,21.6360255119486,-3.64943494160421,-0.998005901623776,1156,138,392,227,784,167,65038.8051117404
59451.0042123682,22.1739157392352,-12.1787650725859,-9.51957339236388,1410,264,1582,269,759,168,60721.4793237866
69731.2671950152,21.8993262553736,6.98440449409807,9.11181033767155,776,934,431,10,688,169,69960.2907785522
73732.254268813,22.1484820198681,11.0909020892159,14.0511072898244,1078,654,2695,294,597,170,72360.8363797065
60566.6031125845,22.0966433263214,-8.40123253752684,-5.65712269897781,393,58,1727,125,543,171,62883.9624155509
68613.7341473491,22.0349702991787,6.04303582688007,8.56161829465712,1098,354,3059,39,828,172,69740.7232925225
70938.5652056192,22.1116167119729,5.66347310625561,8.78819989269751,376,498,2585,225,878,173,69910.4190477859
75060.5098759592,21.80021170948,9.26176033864372,12.0374208331097,495,562,815,266,704,174,71479.247651223
70670.7861632151,22.127166263687,3.90785975935403,6.79312366797032,553,818,2336,10,684,175,68911.9018153005
70449.6272815507,22.1863501418608,9.20155762500772,12.2822714893531,814,721,1115,170,802,176,71599.3924702583
62806.9260657157,21.9742180583257,-5.66325515439396,-2.12887390362064,326,45,2749,140,382,177,64712.1332486289
71511.0094845428,22.029080799314,6.7669759475137,9.68948152400739,272,31,1821,195,863,178,70479.5283902283
65658.4146167453,21.6063697357386,-3.17804936935815,-0.84488225689911,516,873,170,103,465,179,65068.58096907
64183.522426252,21.7156788061606,-0.0397864795626971,2.40902712106844,190,954,1471,63,612,180,66696.4837802442
62247.7897779025,21.8455030809835,-9.25482308798535,-6.2596789888563,476,837,959,226,387,181,62412.1967923607
65272.3460312119,21.9629104409375,0.847645103581191,3.53086553748498,1408,837,483,252,898,182,67088.639920465
66458.8264743543,22.1436941880346,0.29588216123452,2.80200301027013,802,44,2142,173,1018,183,66945.4493276243
72735.2973683287,21.4789764543654,13.5003093381278,14.1488305590685,428,601,7,4,721,184,72399.3859619376
69092.6725209019,22.0103145364504,4.15390038320311,7.76316790366558,963,91,3989,32,950,185,69523.2039391952
71658.3569482507,22.0236207269662,8.04949428677695,11.1882185889773,1253,882,2228,221,892,186,70918.3118126719
67074.435156405,22.1835482343763,-1.37536286778893,1.48962752148161,509,916,1302,217,764,187,66196.8825742866
70136.0058716306,22.1242887648962,6.20669962034164,9.23238333101552,602,872,2310,290,806,188,69991.0425226004
61653.5877950874,22.1042296264614,-9.34289467333148,-6.35962479609862,849,184,811,330,418,189,62420.3382059015
69508.503800398,21.9324626025706,4.08442663531032,6.53732523577373,501,367,1324,62,699,190,68837.048476059
68573.0649755392,21.8360731453007,7.60356719482689,10.3222313239319,562,651,900,267,932,191,70581.2020676529
69795.6856052473,22.0804069034012,9.0682127922302,12.2926746114548,867,188,4147,147,600,192,71676.8386570167
65604.3306526809,22.0134563123679,-2.93316453684028,-0.429109168675603,206,665,2203,61,669,193,65343.4705954238
65788.7383192316,22.0815312321062,-4.71188041814972,-1.97813850274614,244,16,1921,187,681,194,64693.7443892273
66037.7120411049,21.945384705903,-1.80120199554228,0.725791632365254,528,934,642,245,712,195,65774.3271170405
62177.0872331915,22.4298855578913,-3.65712054770204,-0.618925423705906,15,819,3212,97,797,196,65262.5143666479
63993.586036835,22.0392714981961,-4.59182845865012,-1.48065843733184,559,696,1973,152,958,197,64796.4573731311
62828.2531371196,22.0869495147101,-10.4827774656253,-6.8176981010819,1499,917,1676,66,607,198,62118.8602090021
68921.5521348908,21.9654509511423,3.46571109106257,6.63699974092529,161,653,2576,199,884,199,68850.9814512629
58827.5440508053,22.2202745944087,-13.9142030137521,-10.8974413374282,654,529,1712,204,957,200,60131.111711274
68298.24258158,22.0924701081829,1.87324761847842,4.7334759039023,1,92,1015,252,1094,201,68019.976190939
62435.3931908917,22.3064294029999,-9.28321804583216,-5.51240028008901,110,89,2148,278,909,202,63013.2530618731
67778.1207977468,22.1583097889388,6.55162975565272,10.076985901323,954,517,2914,170,872,203,70539.42138336
68221.6203502673,22.1236894729391,4.9543352641112,8.36264208525332,625,492,2891,287,707,204,69678.7267638107
62199.1379825471,22.070884853606,-7.4573815366838,-3.77403319708926,788,260,1679,435,922,205,63682.0064716255
65676.6373182222,22.0572801898775,-3.07377013011664,0.115167730193673,991,181,2243,197,831,206,65637.658309565
71564.8630412134,22.2772230465789,14.0079218582301,16.921810021404,1132,538,869,204,1275,207,73848.2459506746
71755.5162648002,22.2932133697711,10.7341831322056,13.2884373245272,894,43,2653,247,1060,208,72091.5937058167
68053.8193760282,21.9710079400221,6.71173443186494,9.80721620764234,1156,761,2598,272,596,209,70250.1916425427
69555.3157485293,22.2001251808572,7.81056043273531,10.4526994905552,296,866,1642,247,759,210,70627.4176713199
64361.5138060437,22.0471303790705,-5.35095236699796,-2.36971475111588,902,344,647,206,737,211,64396.4394090038
69486.6087717315,21.8743213669672,1.15001277769098,3.87765262670452,404,865,1191,103,732,212,67436.8489053659
66814.2210665149,22.120510550674,-0.583019992764297,2.60037750449449,831,736,3847,98,974,213,66763.558941464
65888.8143624146,22.0427035698392,-2.66856804143476,0.626954984431086,564,263,2622,183,722,214,65940.1215419366
68017.2338111894,21.973381920281,1.83269339137229,4.47249373143016,684,144,1109,113,869,215,67837.9063687405
65005.8897134178,22.1625523624423,-3.82494229908698,-0.624272175979558,1338,717,1374,60,840,216,65195.1726098971
71759.7744709062,22.0057183712763,7.49077523273758,10.0296356343832,538,432,511,13,782,217,70597.3216248426
69375.0453570268,22.1469611839466,4.86416471363748,8.05062758635673,952,720,1093,96,721,218,69535.1499490679
68100.5420014824,21.9596232401085,4.26844279208026,7.33759367407288,1423,427,3742,141,836,219,69081.1803189864
68754.3324029279,21.8617248690829,9.97780011810212,11.6861309160891,191,521,885,227,890,220,71230.6430044158
69596.3475117373,21.9806331669624,3.56785976329975,6.58322922048337,128,534,1612,88,894,221,68907.9642068963
73044.7436930671,21.8634900052187,10.702836560501,12.929945928184,119,719,930,194,447,222,71910.2497928936
62642.2596244462,22.1335413620699,-6.01421519667231,-3.0850266361758,754,68,641,263,817,223,64087.0506241124
67717.9073975628,22.0491441791178,-1.87551613453378,1.36584067989204,440,553,1035,173,835,224,66288.6677518491
72266.0939738731,21.8498918665199,8.84511303150025,11.7662168297219,834,85,1945,125,650,225,71463.6160382652
70632.0703159132,22.1252416645841,3.76627002184623,6.38790943163326,1219,574,1018,332,1006,226,68526.8262843976
65328.7017146529,22.1722447899529,-3.71005993540186,-0.66964744794598,1319,150,3142,71,1008,227,65223.9691793024
69202.4905681421,22.1997928837317,5.2434726589369,7.76731051859864,871,754,1938,118,736,228,69287.7869514557
70729.854617582,21.9774036256506,6.16644255911847,8.70503689874314,237,335,523,145,418,229,69959.0188724273
63671.4039886114,21.3440605223336,-0.598039770860209,0.309821148599506,129,406,8,116,963,230,65588.6625396378
64931.161063643,22.3882640556823,-0.30300995217905,2.31021754347083,313,546,1076,96,708,231,66743.6194706216
65606.2833344368,21.8474077965666,-2.16773293166354,0.174483625514633,541,926,427,193,569,232,65513.0280153452
70830.9783120881,21.7123551260307,5.31149297547536,7.85486963326975,83,455,1603,172,617,233,69477.6514390988
63216.6387976343,21.7862131782151,-10.7954586740979,-8.34028366788198,1316,571,395,244,771,234,61258.2418885865
67316.6507731657,21.8538022096886,2.70968764285641,6.12446613121431,475,720,2072,278,826,235,68551.9422021861
71896.5650495146,22.0890656460617,9.32287623629333,12.3219708349092,536,65,2439,202,923,236,71733.139728165
72523.7272790847,21.7675602191901,10.721698297863,13.7099686340242,430,1000,1351,76,818,237,72308.6506183935
64056.9074580118,22.0127399778536,-5.60282497267629,-2.77933756720921,863,619,1503,161,647,238,64121.6561466323
71664.7093126813,22.0966732619838,4.35741223470919,6.82018326468659,289,639,3388,306,815,239,68783.591889384
64449.1005211547,22.2711982618075,-6.06444635118211,-2.79222901260076,817,248,3482,78,858,240,64237.4585170533
68842.3458581158,22.2291571466093,3.16328856887565,6.36525770538606,500,227,3494,98,888,241,68798.4664159928
69917.4404639452,22.3808064985635,4.61218422196476,7.18203728629835,241,279,1220,112,860,242,69201.4340263773
66306.0209607107,22.139365883876,0.551583669863586,3.20267499086871,360,733,1277,158,1009,243,67091.6947046969
67966.861876622,22.2099104540556,-0.411639088970216,3.08623439172328,1166,325,995,360,1058,244,67043.7770893732
68029.8676066316,21.6562105832919,0.832084736701397,3.00981342366903,686,820,559,159,959,245,66892.3363371277
65385.7186466464,21.813482009182,-0.223285318264059,2.36329510793496,1455,325,727,304,721,246,66583.2904481197
72814.5146370467,21.898732703363,12.0901282515235,14.5877656423933,272,350,522,97,743,247,72864.463653932
65078.044796194,22.1137466964677,-4.67602278040504,-1.67000902284335,276,937,2326,11,1027,248,64722.379585188
60655.8048081731,21.4072533133987,-5.55532807910901,-3.58134591728219,1069,357,16,69,816,249,63713.2574782471
69798.1609916508,21.8498364895521,7.04527692947854,8.58468418674688,594,298,653,164,1004,250,69700.9613059932
67156.5683654189,21.7763850169398,0.891008246297477,3.93353690621473,828,836,2134,230,666,251,67379.825976524
67460.0713693783,21.6201493526918,2.25962010894364,5.25005971977337,337,223,1588,30,390,252,68333.1959172675
66779.8683087769,21.9313028980462,4.72024542372536,7.04875578774433,961,136,2608,304,837,253,68925.7377915082
69130.4331786986,21.7982431439345,6.18511234875646,8.74188102850645,619,360,567,393,792,254,69795.3883541078
68764.4987000952,21.850458293143,0.481809690672711,3.45500459305136,457,211,908,100,713,255,67403.0166984854
67434.0776828603,21.9329634076867,0.270300170895437,3.25274956520246,135,74,3305,376,905,256,67185.0154575838
66084.2469806189,21.8030601979061,0.0504093392469802,3.00732012298355,212,795,1413,93,765,257,67067.796581887
62879.7118501098,21.8659554452156,-5.89271852122953,-3.4395573185307,325,537,310,191,982,258,63830.2625041329
69895.1456893574,21.804861626151,7.03493237177049,9.3411548039547,407,310,414,184,422,259,70213.7180939015
73015.5214029766,22.0749214712621,10.9181990283664,13.5441337984635,828,419,2191,108,640,260,72242.3066016062
